id,conversation_id,created_at,user_id,username,tweet,mentions,urls,replies_count,retweets_count,likes_count,hashtags,link,near,geo,source
1.33133E+18,1.33133E+18,2020-11-24 21:11:47 CET,436896009,abder2810,Reposes en Paix Patriote 🇳🇪  https://t.co/CG4igTM4G6,[],[],6,3,73,[],https://twitter.com/abder2810/status/1331329689881894920,,,
1.33103E+18,1.33103E+18,2020-11-24 01:21:50 CET,436896009,abder2810,"“Les diplomates, ça ne se fâche pas, ça prend des notes.”  De Sacha Guitry  Bonne nuit, Votre Serviteur Oumarou Abdourahamane #abder2021  https://t.co/KwGr0nXAQb",[],[],4,1,58,['abder2021'],https://twitter.com/abder2810/status/1331030229217931270,,,
1.3308E+18,1.3308E+18,2020-11-23 10:10:53 CET,436896009,abder2810,C'est avec une grande tristesse que j'ai appris le Décès de l’ancien président mauritanien Sidi Mohamed Ould Cheikh Abdallah.  Mes sincères condoléances à sa famille et au peuple Mauritanien  Que le seigneur lui accorde son paradis immense et éternel Firdaous. #mauritanie  https://t.co/jElYpo62R5,[],[],8,1,18,['mauritanie'],https://twitter.com/abder2810/status/1330800979915239425,,,
1.33005E+18,1.33005E+18,2020-11-21 08:12:24 CET,436896009,abder2810,"Souvenir séjour USA 2017  Après la Maison Blanche et le Capitol, j'ai eu une séance de travail au Département d'État américain,    Une rencontre fructueuse avec M. Manav Jain à la Direction du Bureau des affaires africaines @StateIVLP @USEmbassyNiamey #ivlp2017 #abder2021  https://t.co/BijRn82D9e","[{'screen_name': 'stateivlp', 'name': 'ivlp', 'id': '407098018'}, {'screen_name': 'usembassyniamey', 'name': 'u.s. embassy niamey', 'id': '2373370128'}]",[],2,1,25,"['ivlp2017', 'abder2021']",https://twitter.com/abder2810/status/1330046388940525569,,,
1.32955E+18,1.32955E+18,2020-11-19 23:18:45 CET,436896009,abder2810,"Souvenir de mon Séjour aux États-Unis en 2017   Formation à  Harvard University , Kennedy School of Government  Institut de politique (IOP), formation avec Mme Sarah Hurwitz, Ancien rédacteur de discours à la Maison Blanche.  #ivlp2017 #abder2021  https://t.co/1WbzCtMb0p",[],[],4,1,68,"['ivlp2017', 'abder2021']",https://twitter.com/abder2810/status/1329549700656148482,,,
1.32699E+18,1.32699E+18,2020-11-12 21:57:21 CET,436896009,abder2810,"Un leader, un panafricaniste, un Révolutionnaire  L'Afrique vient de perdre un digne fils !  Il rejoint ainsi son Ami Thomas Sankara !   Reposes en Paix Rawlings   Mes sincères condoléances au peuple du Ghana et à tous les Panafricanistes   Votre Serviteur Oumarou Abdourahamane  https://t.co/DELnU4tCaO",[],[],3,1,42,[],https://twitter.com/abder2810/status/1326992503862677506,,,
1.3268E+18,1.3268E+18,2020-11-12 08:52:34 CET,436896009,abder2810,"Dépôt de dossiers de candidature pour les Élections Présidentielles de 2020 2021, du candidat de L'UNPP INCIN AFRICA  OUMAROU ABDOURAHAMANE  ""POUVOIR AU PEUPLE""   ""ILS FINIRONT PAR COMPRENDRE""  https://t.co/rOJ7TYjCNR",[],[],9,0,43,[],https://twitter.com/abder2810/status/1326795004640104448,,,
1.32655E+18,1.32655E+18,2020-11-11 16:58:25 CET,436896009,abder2810,11 Novembre date anniversaire du décès du Grand Combattant Yasser Arafat.  Je partage avec vous une photo d'archive de Yasser Arafat accueilli à Niamey par le Général Seyni Kountché (en boubou blanc) et mon père (en boubou bleu).  Qu'ils reposent en paix  Votre Serviteur  https://t.co/b7URVm4Kj8,[],[],2,3,49,[],https://twitter.com/abder2810/status/1326554885773434881,,,
1.32632E+18,1.32632E+18,2020-11-11 01:07:51 CET,436896009,abder2810,"Chers frères et soeurs, chers amis Mes très chers compatriotes  J'ai le plaisir de vous annoncer que j'ai déposé ma candidature pour les élections législatives et également pour l'élection présidentielle  du 27 Décembre 2020.  Oui je suis candidat !  POUVOIR AU PEUPLE !  https://t.co/v3GFndqXSY",[],[],35,5,140,[],https://twitter.com/abder2810/status/1326315665968476160,,,
1.32606E+18,1.32606E+18,2020-11-10 07:58:20 CET,436896009,abder2810,"10 Novembre 1987- 10 Novembre 2020 Date anniversaire du décès d'un Grand Patriote le président Kountché. L'intégrité au Service du Peuple !  Je partage avec vous cette photo Archive de Mon père  , le président Kountché , le Roi Fahd et le Roi Abdallah ( prince héritier)  https://t.co/PeZgm204rZ",[],[],3,2,51,[],https://twitter.com/abder2810/status/1326056580249505792,,,
